         177186 function calls (176234 primitive calls) in 15.302 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 base_events.py:652(close)
        2    0.000    0.000    0.000    0.000 base_events.py:675(is_closed)
       11    0.000    0.000    0.000    0.000 base_events.py:685(is_running)
     1815    0.034    0.000    0.073    0.000 base_events.py:689(time)
      261    0.023    0.000    0.096    0.000 base_events.py:698(call_later)
      261    0.026    0.000    0.063    0.000 base_events.py:720(call_at)
      272    0.015    0.000    0.060    0.000 base_events.py:736(call_soon)
      272    0.024    0.000    0.042    0.000 base_events.py:765(_call_soon)
        1    0.000    0.000    0.008    0.008 base_futures.py:1(<module>)
        6    0.001    0.000    0.001    0.000 base_futures.py:14(isfuture)
        1    0.000    0.000    0.002    0.002 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:10(BaseSubprocessTransport)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:255(WriteSubprocessPipeProto)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:281(ReadSubprocessPipeProto)
        1    0.003    0.003    0.003    0.003 base_tasks.py:1(<module>)
        1    0.001    0.001    0.054    0.054 beaglebone_black.py:1(<module>)
        1    0.000    0.000    0.000    0.000 board.py:208(_pi_rev_code)
        2    0.001    0.001    0.324    0.162 board.py:22(<module>)
        1    0.000    0.000    0.103    0.103 board.py:234(_beaglebone_id)
        1    0.000    0.000    0.000    0.000 board.py:471(any_nanopi)
        1    0.000    0.000    0.000    0.000 board.py:476(any_96boards)
        1    0.001    0.001    0.001    0.001 board.py:48(Board)
        1    0.000    0.000    0.000    0.000 board.py:481(any_raspberry_pi)
        1    0.000    0.000    0.000    0.000 board.py:486(any_raspberry_pi_40_pin)
        1    0.000    0.000    0.000    0.000 board.py:491(any_raspberry_pi_cm)
        1    0.000    0.000    0.000    0.000 board.py:496(any_beaglebone)
        1    0.000    0.000    0.000    0.000 board.py:501(any_orange_pi)
        1    0.000    0.000    0.000    0.000 board.py:506(any_lubancat)
        1    0.000    0.000    0.000    0.000 board.py:51(__init__)
        1    0.000    0.000    0.000    0.000 board.py:511(any_coral_board)
        1    0.000    0.000    0.000    0.000 board.py:516(any_pynq_board)
        1    0.000    0.000    0.000    0.000 board.py:521(any_giant_board)
        1    0.000    0.000    0.000    0.000 board.py:526(any_odroid_40_pin)
        1    0.000    0.000    0.000    0.000 board.py:531(any_jetson_board)
        1    0.000    0.000    0.000    0.000 board.py:534(<listcomp>)
        1    0.000    0.000    0.000    0.000 board.py:536(any_sifive_board)
        1    0.000    0.000    0.000    0.000 board.py:541(any_onion_omega_board)
        1    0.000    0.000    0.000    0.000 board.py:546(any_pine64_board)
        1    0.000    0.000    0.000    0.000 board.py:551(any_rock_pi_board)
        1    0.000    0.000    0.000    0.000 board.py:556(any_clockwork_pi_board)
       33    0.000    0.000    0.104    0.003 board.py:56(id)
        1    0.000    0.000    0.000    0.000 board.py:561(any_udoo_board)
        1    0.000    0.000    0.000    0.000 board.py:566(any_asus_tinker_board)
        1    0.000    0.000    0.000    0.000 board.py:571(any_stm32mp1)
        1    0.000    0.000    0.001    0.001 board.py:576(any_embedded_linux)
        1    0.000    0.000    0.000    0.000 board.py:603(ftdi_ft232h)
        1    0.000    0.000    0.000    0.000 board.py:613(microchip_mcp2221)
        1    0.000    0.000    0.000    0.000 board.py:618(pico_u2if)
        1    0.000    0.000    0.000    0.000 board.py:623(feather_u2if)
        1    0.000    0.000    0.000    0.000 board.py:628(itsybitsy_u2if)
        1    0.000    0.000    0.000    0.000 board.py:633(qtpy_u2if)
        1    0.000    0.000    0.000    0.000 board.py:638(qt2040_trinkey_u2if)
        1    0.000    0.000    0.000    0.000 board.py:643(binho_nova)
        1    0.000    0.000    0.000    0.000 board.py:648(greatfet_one)
        5    0.000    0.000    0.000    0.000 board.py:653(__getattr__)
        1    0.000    0.000    0.000    0.000 boards.py:1(<module>)
        1    0.000    0.000    0.003    0.003 busio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 busio.py:120(deinit)
      264    0.027    0.000    0.191    0.001 busio.py:141(readfrom_into)
     2044    0.217    0.000    2.626    0.001 busio.py:150(writeto)
        1    0.000    0.000    0.000    0.000 busio.py:187(SPI)
        1    0.000    0.000    0.000    0.000 busio.py:24(I2C)
        1    0.000    0.000    0.257    0.257 busio.py:30(__init__)
        1    0.007    0.007    0.257    0.257 busio.py:33(init)
        1    0.000    0.000    0.000    0.000 busio.py:414(UART)
        1    0.000    0.000    0.000    0.000 busio.py:420(Parity)
        1    0.000    0.000    0.000    0.000 busio.py:525(OneWire)
        1    0.001    0.001    0.031    0.031 chip.py:175(_linux_id)
        1    0.000    0.000    0.001    0.001 chip.py:22(<module>)
        1    0.000    0.000    0.000    0.000 chip.py:49(Chip)
        1    0.000    0.000    0.000    0.000 chip.py:52(__init__)
        4    0.000    0.000    0.033    0.008 chip.py:56(id)
        1    0.000    0.000    0.000    0.000 chips.py:1(<module>)
       19    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
       19    0.000    0.000    0.001    0.000 codecs.py:309(__init__)
       19    0.001    0.000    0.002    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.005    0.005 constants.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constants.py:24(_SendfileMode)
        1    0.000    0.000    0.012    0.012 contextvars.py:1(<module>)
        1    0.001    0.001    0.026    0.026 coroutines.py:1(<module>)
        6    0.000    0.000    0.001    0.000 coroutines.py:177(iscoroutine)
        2    0.000    0.000    0.001    0.000 coroutines.py:18(_is_debug_mode)
        1    0.000    0.000    0.000    0.000 coroutines.py:36(CoroWrapper)
        1    0.002    0.002    0.024    0.024 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1145(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(IsoCalendarDate)
        1    0.001    0.001    0.001    0.001 datetime.py:1245(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1270(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1594(datetime)
        3    0.000    0.000    0.001    0.000 datetime.py:1602(__new__)
        1    0.000    0.000    0.001    0.001 datetime.py:2216(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2236(_create)
       35    0.001    0.000    0.001    0.000 datetime.py:383(_check_int_field)
        5    0.000    0.000    0.001    0.000 datetime.py:415(_check_date_fields)
        5    0.000    0.000    0.001    0.000 datetime.py:428(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:445(_check_tzinfo_arg)
        3    0.000    0.000    0.000    0.000 datetime.py:45(_days_before_year)
        1    0.000    0.000    0.000    0.000 datetime.py:473(timedelta)
       12    0.003    0.000    0.005    0.000 datetime.py:492(__new__)
        5    0.000    0.000    0.000    0.000 datetime.py:50(_days_in_month)
        2    0.000    0.000    0.001    0.000 datetime.py:665(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:793(date)
        2    0.000    0.000    0.000    0.000 datetime.py:823(__new__)
        1    0.000    0.000    0.114    0.114 dispatcher.py:1(<module>)
     1712    0.154    0.000    0.517    0.000 dispatcher.py:136(handlers_for_address)
        1    0.000    0.000    0.002    0.002 dispatcher.py:14(Handler)
      857    0.184    0.000    5.028    0.006 dispatcher.py:171(call_handlers_for_packet)
        1    0.000    0.000    0.000    0.000 dispatcher.py:198(set_default_handler)
        1    0.000    0.000    0.000    0.000 dispatcher.py:22(__init__)
      856    0.093    0.000    3.205    0.004 dispatcher.py:41(invoke)
        1    0.000    0.000    0.002    0.002 dispatcher.py:60(Dispatcher)
        1    0.000    0.000    0.000    0.000 dispatcher.py:66(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:1016(<lambda>)
      236    0.005    0.000    0.009    0.000 enum.py:12(_is_descriptor)
       19    0.002    0.000    0.011    0.001 enum.py:164(__prepare__)
       19    0.051    0.003    0.143    0.008 enum.py:179(__new__)
       19    0.001    0.000    0.001    0.000 enum.py:197(<dictcomp>)
      287    0.005    0.000    0.007    0.000 enum.py:22(_is_dunder)
       19    0.017    0.001    0.030    0.002 enum.py:221(<setcomp>)
       56    0.001    0.000    0.001    0.000 enum.py:244(<genexpr>)
      286    0.005    0.000    0.007    0.000 enum.py:33(_is_sunder)
       61    0.002    0.000    0.157    0.003 enum.py:334(__call__)
       20    0.001    0.000    0.001    0.000 enum.py:391(__getattr__)
        1    0.000    0.000    0.000    0.000 enum.py:410(__iter__)
       10    0.000    0.000    0.000    0.000 enum.py:414(<genexpr>)
       14    0.000    0.000    0.000    0.000 enum.py:419(__members__)
      361    0.023    0.000    0.027    0.000 enum.py:438(__setattr__)
      286    0.009    0.000    0.013    0.000 enum.py:44(_is_private)
       13    0.005    0.000    0.153    0.012 enum.py:451(_create_)
       13    0.002    0.000    0.251    0.019 enum.py:504(_convert_)
       13    0.024    0.002    0.088    0.007 enum.py:521(<listcomp>)
      162    0.003    0.000    0.003    0.000 enum.py:527(<lambda>)
       19    0.001    0.000    0.002    0.000 enum.py:537(_check_for_existing_members)
       51    0.002    0.000    0.007    0.000 enum.py:547(_get_mixins_)
       51    0.003    0.000    0.004    0.000 enum.py:558(_find_data_type)
        1    0.000    0.000    0.000    0.000 enum.py:57(_make_class_unpicklable)
       19    0.002    0.000    0.006    0.000 enum.py:594(_find_new_)
       48    0.001    0.000    0.003    0.000 enum.py:646(__new__)
        3    0.000    0.000    0.000    0.000 enum.py:691(_generate_next_value_)
       24    0.000    0.000    0.000    0.000 enum.py:768(value)
       19    0.001    0.000    0.001    0.000 enum.py:81(__init__)
      286    0.025    0.000    0.065    0.000 enum.py:88(__setitem__)
        1    0.000    0.000    0.002    0.002 enum.py:904(_missing_)
